Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2000-03-14,4.080357074737549,37.47378158569336,33.0625,17.90625,65.875,41.4375,33.66431427001953,,104.75,52.3125,108.625,58.9375,36.375,52.66666793823242,21.65625,30.5,39.5625,56.5,47.5625,3.609375,33.25,27.875,22.3125,6.2578125,24.96875,,50.41828155517578,25.0,47.75,38.625
2000-03-15,4.151785850524902,38.768497467041016,34.875,19.125,64.3125,41.96875,34.342533111572266,,103.5625,57.0,107.0,60.09375,38.46875,55.41666793823242,23.78125,32.5,41.25,59.8125,47.6875,4.125,35.25,29.25,23.875,6.4296875,26.9375,,50.41828155517578,26.0,51.5,38.875
2000-03-16,4.341517925262451,41.94145965576172,35.625,20.34375,65.8359375,42.0625,34.83578109741211,,103.3125,61.5,109.0,62.53125,39.90625,60.08333206176758,24.875,34.0625,44.03125,65.0,47.6875,4.46875,36.5,29.9375,27.1875,6.515625,28.5,,52.04830551147461,27.5,54.625,39.875
2000-03-17,4.464285850524902,41.90498733520508,38.0,19.8125,67.5,41.65625,36.31553268432617,,116.5,63.1875,110.0,64.9375,39.78125,60.66666793823242,24.5625,33.8125,42.9375,62.75,49.6875,4.25,35.8125,28.8125,26.625,6.453125,27.3125,,53.22866439819336,27.9375,55.75,38.5625
2000-03-20,4.392857074737549,41.43086624145508,37.0,19.25,67.0625,41.46875,38.905094146728516,,113.4375,63.625,112.75,67.5,39.65625,57.70833206176758,24.28125,34.5625,43.5,61.625,48.6875,4.125,35.0,29.0625,26.3125,6.625,28.0625,,53.17245864868164,28.0,55.125,37.4375
2000-03-21,4.8191962242126465,42.56146240234375,36.5625,19.90625,70.4296875,43.0,38.658470153808594,,118.25,63.5,113.5,69.21875,40.125,61.33333206176758,24.71875,35.25,45.21875,63.9375,51.375,4.140625,36.6875,28.5,27.5625,6.75,28.375,,52.947628021240234,28.0,56.625,38.5
2000-03-22,5.1495537757873535,43.108524322509766,36.25,19.46875,72.1875,42.0,39.953250885009766,,117.15625,63.0625,114.25,72.03125,41.125,61.04166793823242,23.53125,35.25,43.0,64.4375,51.625,4.21875,35.625,28.5,27.375,6.6171875,27.90625,,52.04830551147461,27.9375,55.375,37.46875
2000-03-23,5.046875,45.51559829711914,35.125,19.78125,77.8125,42.3125,41.001407623291016,,119.0,64.125,115.25,71.3125,40.0,65.66666412353516,23.5,35.1875,43.5,62.875,55.9375,4.25,35.25,28.09375,28.25,6.828125,29.1875,,53.62211990356445,27.1875,54.0,37.75
2000-03-24,4.953125,45.40618896484375,36.0,19.75,79.375,42.8125,40.87809371948242,,121.3125,64.375,120.625,69.53125,36.125,64.125,23.5,34.8125,45.4375,61.75,55.84375,4.234375,34.875,28.21875,29.5,7.1796875,28.53125,,53.50970458984375,28.0,55.5,38.625
2000-03-27,4.984375,43.910884857177734,37.125,19.53125,80.0625,42.28125,41.18637466430664,,112.0,64.375,126.875,71.34375,34.875,63.125,22.625,34.75,44.3125,61.125,52.03125,4.4921875,34.75,27.625,29.5,6.96875,28.71875,,54.52144241333008,26.4375,55.4375,38.2578125
